Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                  Monthly tokens (B)  USD/MTok  Confidence
51   Command Code GOAT                   USD 10       Muse Spark 1.3 Contributor    4.1667              0.0024    medium
52   Command Code GOAT                   USD 10       Muse Spark 1.2 Contributor    4.1667              0.0024    medium
53   Claude Pro                          USD 20       Claude Sonnet 5               3.97                0.00504   medium
54   GLM Coding Pro (v3 ¥538) Peak       CNY 538      GLM 5.3 Flash                 3.85                0.02061   high
55   GLM Coding Pro (v2 ¥149) Peak       CNY 149      GLM 5.3 Flash                 3.85                0.00571   high
56   OpenCode Go                         USD 10       LongCat 2.0                   3.6364              0.00275   medium
57   ChatGPT Pro 5x                      USD 100      GPT 5.6 Sol                   3.08                0.03247   medium
58   Cursor Ultra (Fast)                 USD 200      Grok 4.6                      3.074               0.06506   high
59   Command Code GOAT                   USD 10       mimo-v2.6-flash               2.9762              0.00336   medium
60   GLM Coding Max (v3 ¥1078) Peak      CNY 1078     GLM 5.3                       2.963               0.05367   high
61   GLM Coding Max (v2 ¥469) Peak       CNY 469      GLM 5.3                       2.963               0.02335   high
62   GLM Coding Pro (v3 ¥538) Off-peak   CNY 538      GLM 5.3                       2.54                0.03125   high
63   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149      GLM 5.3                       2.54                0.00865   high
64   ChatGPT Pro 5x                      USD 100      GPT 5.5                       2.4024              0.04163   medium
65   Ollama Max                          USD 100      MiniMax M3                    2.1692              0.0461    medium
66   OpenCode Go                         USD 10       DeepSeek V4 Flash             2.1637              0.00462   medium
67   Cursor Pro+                         USD 60       Grok 4.6                      2.0632              0.02908   medium
68   SuperGrok Plus                      USD 100      Grok 4.6                      2.04                0.04902   medium
69   GLM Coding Pro (v3 ¥538) Midpoint   CNY 538      GLM 5.3                       1.905               0.04166   high
70   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149      GLM 5.3                       1.905               0.01154   high
71   Cursor Pro+ (Composer Fast)         USD 60       Composer 2.5                  1.8823              0.03188   low
72   OpenCode Go                         USD 10       DeepSeek V4.1 Flash           1.8182              0.0055    medium
73   MiniMax Token Plan Max              CNY 119      MiniMax M3                    1.8                 0.00975   high
74   Command Code GOAT                   USD 10       Hy3                           1.7873              0.0056    medium
75   Ollama Pro                          USD 20       GLM 5.3 Flash                 1.7531              0.01141   medium
76   MiniMax Token Plan Plus (Global)    USD 22       MiniMax M3                    1.7                 0.01294   high
77   MiniMax Token Plan Plus (Global)    USD 22       MiniMax M2.7                  1.7                 0.01294   medium
78   Claude Pro                          USD 20       Claude Opus 4.8               1.588               0.01259   medium
79   Kimi CN CNY 199 †                   CNY 199      Kimi K2.7 Code                1.568               0.01872   medium
80   OpenCode Go                         USD 10       Hy3                           1.532               0.00653   medium
81   OpenCode Go                         USD 10       Qwen3.8 Flash                 1.4656              0.00682   medium
82   Command Code GOAT                   USD 10       gpt-6-luna                    1.4652              0.00683   medium
83   Kimi CN CNY 199 †                   CNY 199      Kimi K3                       1.451               0.02023   medium
84   Command Code GOAT                   USD 10       DeepSeek V4 Flash Vision Exp  1.4425              0.00693   medium
85   Ollama Pro                          USD 20       DeepSeek V4 Pro               1.4094              0.01419   medium
86   Ollama Max                          USD 100      Kimi K2.7 Code                1.3657              0.07322   medium
87   Ollama Max                          USD 100      GLM 5.1                       1.3175              0.0759    medium
88   OpenCode Go                         USD 10       Omen Alpha                    1.3155              0.0076    medium
89   GLM Coding Lite (v3 ¥118) Off-peak  CNY 118      GLM 5.3 Flash                 1.283               0.01357   high
90   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49       GLM 5.3 Flash                 1.283               0.00563   high
91   GLM Coding Pro (v3 ¥538) Peak       CNY 538      GLM 5.3                       1.27                0.06249   high
92   GLM Coding Pro (v2 ¥149) Peak       CNY 149      GLM 5.3                       1.27                0.01731   high
93   Command Code GOAT                   USD 10       MiMo V2.5 Pro                 1.2573              0.00795   medium
94   Command Code GOAT                   USD 10       mimo-v2.6-pro                 1.2573              0.00795   medium
95   Cursor Pro (Standard)               USD 20       Composer 2.5                  1.2084              0.01655   medium
96   Claude Max 20x (9/14+)              USD 200      Claude Fable 5                1.2077              0.1656    low
97   Command Code GOAT                   USD 10       Qwen3.8 27B                   1.2048              0.0083    medium
98   ChatGPT Plus                        USD 20       GPT 5.6 Terra                 1.2012              0.01665   medium
99   Command Code GOAT                   USD 10       GLM 5.3 Flash                 1.1687              0.00856   medium
100  OpenCode Go                         USD 10       Qwen3.7 Plus                  1.1278              0.00887   medium
101  OpenCode Go                         USD 10       gpt-6-luna                    1.0989              0.0091    medium
102  OpenCode Go                         USD 10       DeepSeek V4 Flash Vision Exp  1.0819              0.00924   medium
103  Ollama Max                          USD 100      GLM 5.3                       1.0033              0.09967   medium
104  Ollama Max                          USD 100      GLM 5.2                       1.0033              0.09967   medium
105  Command Code GOAT                   USD 10       Qwen3.8 Flash                 0.9669              0.01034   medium
106  GLM Coding Lite (v3 ¥118) Midpoint  CNY 118      GLM 5.3 Flash                 0.962               0.0181    high
107  GLM Coding Lite (v2 ¥49) Midpoint   CNY 49       GLM 5.3 Flash                 0.962               0.00751   high
108  OpenCode Go                         USD 10       MiMo V2.5 Pro                 0.9415              0.01062   medium
109  OpenCode Go                         USD 10       mimo-v2.6-pro                 0.9415              0.01062   medium
110  Claude Max 5x (9/14+)               USD 100      Claude Fable 5                0.9235              0.10828   low
111  Command Code GOAT                   USD 10       Step 3.5 Flash                0.8811              0.01135   medium
112  OpenCode Go                         USD 10       MiniMax M3                    0.8677              0.01152   medium
113  OpenCode Go                         USD 10       MiniMax M2.7                  0.8677              0.01152   medium
114  OpenCode Go                         USD 10       MiniMax M2.5                  0.8677              0.01152   medium
115  Ollama Pro                          USD 20       MiniMax M2.7                  0.8677              0.02305   medium
116  OpenCode Go                         USD 10       Qwen3.6 Plus                  0.8571              0.01167   medium
117  Ollama Max                          USD 100      Kimi K3                       0.7326              0.1365    medium
118  Command Code GOAT                   USD 10       GPT 5.6 Luna                  0.7143              0.014     medium
119  Command Code GOAT                   USD 10       MiniMax M3                    0.6797              0.01471   medium
120  GLM Coding Lite (v3 ¥118) Peak      CNY 118      GLM 5.3 Flash                 0.642               0.02711   high
121  GLM Coding Lite (v2 ¥49) Peak       CNY 49       GLM 5.3 Flash                 0.642               0.01126   high
122  ChatGPT Plus                        USD 20       GPT 5.6 Sol                   0.616               0.03247   medium
123  MiniMax Token Plan Plus             CNY 49       MiniMax M3                    0.6                 0.01205   high
124  MiniMax Token Plan Plus             CNY 49       MiniMax M2.7                  0.6                 0.01205   medium
125  OpenCode Go                         USD 10       GPT 5.6 Luna                  0.5357              0.01867   medium
126  SuperGrok                           USD 30       Grok 4.6                      0.509               0.05894   high
127  SuperGrok                           USD 30       Grok 4.5                      0.509               0.05894   medium
128  ChatGPT Plus                        USD 20       GPT 5.5                       0.4805              0.04162   medium
129  Cursor Pro                          USD 20       Grok 4.6                      0.47                0.04255   medium
130  Command Code GOAT                   USD 10       DeepSeek V4 Pro               0.4698              0.02129   medium
131  OpenCode Go                         USD 10       Hy4 Preview                   0.4436              0.02254   medium
132  OpenCode Go                         USD 10       GLM 5.3 Flash                 0.4383              0.02282   medium
133  Ollama Pro                          USD 20       MiniMax M3                    0.4338              0.0461    medium
134  Cursor Pro (Composer Fast)          USD 20       Composer 2.5                  0.4288              0.04664   medium
135  GLM Coding Lite (v3 ¥118) Off-peak  CNY 118      GLM 5.3                       0.423               0.04115   high
136  GLM Coding Lite (v2 ¥49) Off-peak   CNY 49       GLM 5.3                       0.423               0.01709   high
137  Command Code GOAT                   USD 10       Step 3.7 Flash                0.4226              0.02366   medium
138  Command Code GOAT                   USD 10       Qwen3.7 Plus                  0.3579              0.02794   medium
139  OpenCode Go                         USD 10       DeepSeek V4 Pro               0.3524              0.02838   medium
140  GLM Coding Lite (v3 ¥118) Midpoint  CNY 118      GLM 5.3                       0.317               0.05491   high
141  GLM Coding Lite (v2 ¥49) Midpoint   CNY 49       GLM 5.3                       0.317               0.0228    high
142  OpenCode Go                         USD 10       Kimi K2.6                     0.3151              0.03174   medium
143  Kimi CN CNY 99 †                    CNY 99       Kimi K2.7 Code                0.314               0.04651   medium
144  Command Code GOAT                   USD 10       Hy4 Preview                   0.2957              0.03382   medium
145  Kimi CN CNY 99 †                    CNY 99       Kimi K3                       0.29                0.05036   medium
146  Command Code GOAT                   USD 10       Qwen3.6 Plus                  0.2779              0.03598   medium
147  OpenCode Go                         USD 10       Kimi K2.7 Code                0.2731              0.03662   medium
148  Command Code GOAT                   USD 10       Kimi K2.7 Code                0.2731              0.03662   medium
149  Ollama Pro                          USD 20       Kimi K2.7 Code                0.2731              0.07323   medium
150  Ollama Pro                          USD 20       GLM 5.1                       0.2635              0.0759    medium
151  Command Code GOAT                   USD 10       DeepSeek V4 Flash Fast        0.2624              0.03811   medium
152  Command Code GOAT                   USD 10       step-5-preview                0.2509              0.03986   medium
153  Command Code GOAT                   USD 10       GLM 5.2                       0.2341              0.04272   medium
154  Command Code GOAT                   USD 10       glm-5.3-flashx                0.234               0.04274   medium
155  GLM Coding Lite (v3 ¥118) Peak      CNY 118      GLM 5.3                       0.212               0.08211   high
156  GLM Coding Lite (v2 ¥49) Peak       CNY 49       GLM 5.3                       0.212               0.0341    high
157  OpenCode Go                         USD 10       GLM 5.2                       0.2007              0.04983   medium
158  OpenCode Go                         USD 10       GLM 5.1                       0.2007              0.04983   medium
159  Ollama Pro                          USD 20       GLM 5.3                       0.2007              0.09965   medium
160  Ollama Pro                          USD 20       GLM 5.2                       0.2007              0.09965   medium
161  Alibaba Cloud CN Coding Plan Pro    CNY 200      Qwen3.7 Plus                  0.198               0.14901   medium
162  Alibaba Cloud Coding Plan Pro       USD 50       Qwen3.7 Plus                  0.198               0.25253   low
163  Command Code GOAT                   USD 10       Gemini 3.8 Flash              0.1954              0.05118   medium
164  Command Code GOAT                   USD 10       Gemini 3.7 Flash              0.1954              0.05118   medium
165  Command Code GOAT                   USD 10       Inkling Small                 0.1779              0.05621   medium
166  SuperGrok Lite                      USD 10       Grok 4.6                      0.15                0.06667   low
167  Ollama Pro                          USD 20       Kimi K3                       0.1465              0.13652   medium
168  Command Code GOAT                   USD 10       Nemotron 3 Ultra              0.1446              0.06916   medium
169  Command Code GOAT                   USD 10       Muse Spark 1.3                0.1064              0.09398   medium
170  Command Code GOAT                   USD 10       Muse Spark 1.2                0.1064              0.09398   medium
171  Command Code GOAT                   USD 10       GPT 5.6 Sol                   0.1                 0.1       medium
172  Command Code GOAT                   USD 10       Inkling                       0.0993              0.1007    medium
173  Kimi CN CNY 49 †                    CNY 49       Kimi K2.7 Code                0.078               0.09267   medium
174  Command Code GOAT                   USD 10       GLM 5.3                       0.0669              0.14948   medium
175  Command Code GOAT                   USD 10       Qwen3.8 Max                   0.065               0.15385   medium
176  Command Code GOAT                   USD 10       Qwen3.8 Max 0902              0.065               0.15385   medium
177  Command Code GOAT                   USD 10       Qwen3.7 Max                   0.0581              0.17212   medium
178  OpenCode Go                         USD 10       Qwen3.7 Max                   0.0529              0.18904   medium
179  OpenCode Go                         USD 10       GLM 5.3                       0.0502              0.1992    medium
180  Command Code GOAT                   USD 10       Kimi K3                       0.0488              0.20492   medium
181  OpenCode Go                         USD 10       Qwen3.8 Max                   0.0487              0.20534   medium
182  Command Code GOAT                   USD 10       Kimi K2.7 Code HighSpeed      0.0455              0.21978   medium
183  OpenCode Go                         USD 10       Kimi K3                       0.0366              0.27322   medium
184  Command Code GOAT                   USD 10       grok-4.7                      0.0363              0.27548   medium
185  Command Code GOAT                   USD 10       Grok 4.5                      0.0363              0.27548   medium
186  Command Code GOAT                   USD 10       Grok 4.6                      0.0363              0.27548   medium
187  Command Code GOAT                   USD 10       GLM 5.2 Fast                  0.034               0.29412   medium
188  OpenCode Go                         USD 10       Grok 4.6                      0.0272              0.36765   medium
189  OpenCode Go                         USD 10       grok-4.7                      0.0272              0.36765   medium
